'21af440,DoxasticFox,10/05/2017,Finished UI, fixed saving bug'
'682c69f,Christian Nassif-Haynes,9/05/2017,UI is pretty much done',
'cdc217d,Christian Nassif-Haynes,8/05/2017,asdljk',
'3453747,Christian Nassif-Haynes,4/05/2017,Building the UI to Petra's specs',
'96c117f,Christian Nassif-Haynes,3/05/2017,Test image downloader',
'9871cec,Christian Nassif-Haynes,3/05/2017,Progress on benchmarking',
'3b82113,Christian Nassif-Haynes,2/05/2017,Delete ModuleUtil.java',
'7c65d83,Christian Nassif-Haynes,2/05/2017,misc',
'3be7b6b,Christian Nassif-Haynes,2/05/2017,Changed 'Trench ID' validation',
'46b596c,Christian Nassif-Haynes,2/05/2017,blah',
'1047d23,Christian Nassif-Haynes,2/05/2017,misc',
'f48275f,Christian Nassif-Haynes,2/05/2017,Added validation to Control/Site/{New_Site_Name,Year_of_Campaign}'
'c60a165,Christian Nassif-Haynes,2/05/2017,blah',
'1ab349d,Christian Nassif-Haynes,1/05/2017,Removed debugging function call',
'06aa1db,Christian Nassif-Haynes,1/05/2017,Fixed yet another bug in the removal of duplicate checking',
'd659b89,Christian Nassif-Haynes,1/05/2017,HE-26',
'b7a59cf,Christian Nassif-Haynes,1/05/2017,Fixed bug in last commit, improved performance'
'fc26201,Christian Nassif-Haynes,1/05/2017,Removed duplicate checking for sites and trenches',
'd140ae8,Christian Nassif-Haynes,1/05/2017,Fixed relatinship list population bug (HE-20)',
'578298f,Christian Nassif-Haynes,27/04/2017,Implemented Trench ID validation',
'9f12b6f,Christian Nassif-Haynes,21/04/2017,Exported arch16n entries for relationships',
'0ddd03d,Christian Nassif-Haynes,21/04/2017,Exported arch16n entries for everything except relationships',
'a295185,Christian Nassif-Haynes,21/04/2017,Added login validation',
'ff023eb,Christian Nassif-Haynes,21/04/2017,"Changes according to ""Harvard: 19 April on dev""'",
'f19a52f,Christian Nassif-Haynes,20/04/2017,Updated .gitignore',
'1c58f7c,Christian Nassif-Haynes,20/04/2017,Bug fix in search',
'e0b5623,Christian Nassif-Haynes,20/04/2017,Deleted wireframe',
'523d2ee,Christian Nassif-Haynes,19/04/2017,'Fwd: Tao River Alpha Prototype changes and actionables' implemented but not yet tested',
'0d71317,Christian Nassif-Haynes,19/04/2017,Modified display of FCNs in Trench entity list. (Still need to implement relationship changes.)',
'b9830ad,Christian Nassif-Haynes,19/04/2017,Cleaned up exporter output',
'de72636,Christian Nassif-Haynes,13/04/2017,"All changes requested in ""Fwd: Tao River Alpha Prototype changes and actionables"" except for those relating to relationships", FCN's and the exporter.'
'e1e0b10,Christian Nassif-Haynes,12/04/2017,"Starting work on ""Fwd: Tao River Alpha Prototype changes and actionables"" -- Added 'Site' filter to search.'",
'd1a3a67,Christian Nassif-Haynes,7/04/2017,Changes according to the email 'Harvard pre-Alpha changes'',
'41e8554,Christian Nassif-Haynes,31/03/2017,Fixed bugs with identifiers',
'd3dff31,Christian Nassif-Haynes,29/03/2017,Adela's changes to prototype (tested)',
'1fd7daf,Christian Nassif-Haynes,29/03/2017,Adela's changes to prototype (untested)',
'a4e8877,Christian Nassif-Haynes,27/03/2017,...Prototype wasn't finished after all. Bug fixes.',
'cba8ad2,Christian Nassif-Haynes,27/03/2017,Completed Prototype',
'40107be,Christian Nassif-Haynes,23/03/2017,Generated with latest autogen',
'74b7b15,Christian Nassif-Haynes,23/03/2017,More changes',
'5169ed3,Christian Nassif-Haynes,23/03/2017,Adela's changes',
'91c586b,Christian Nassif-Haynes,22/03/2017,Some more of Adela's changes',
'e72434e,Christian Nassif-Haynes,21/03/2017,More of Adela's changes, using new autogen features'
'60e8bba,Christian Nassif-Haynes,6/07/2016,Generated arch16n with latest autogen',
'2bf78c9,Brian Ballsun-Stanton,1/07/2016,Update ui_schema.xml',
'bccd855,Christian Nassif-Haynes,8/06/2016,Removed superfluous file',
'e64672c,Christian Nassif-Haynes,8/06/2016,Generated with autogen',
'1b506fa,Christian Nassif-Haynes,8/06/2016,HE-16 - Changes to Stratum',
'28b5736,Christian Nassif-Haynes,7/06/2016,HE-19 - Add buttons to Locus',
'79ea35b,Christian Nassif-Haynes,7/06/2016,HE-18 - Add value to Locus/Excavation method',
'4f49e8e,Christian Nassif-Haynes,7/06/2016,HE-17 - Add FCN Button to Control',
'e94ea52,Christian Nassif-Haynes,6/06/2016,HE-15 - Add values to Locus Type/Feature Part',
'7af32ad,Christian Nassif-Haynes,6/06/2016,Properly properly fixed HE-13 895925f610b4cf617fe448a02cae1f20866f873f',
