'7b39dc9,DoxasticFox,2018-06-06,BIODIVERS-8 - Petra's comment 06/Jun/2018'
'6cb3e23,DoxasticFox,2018-06-05,BIODIVERS-8'
'dffcf0a,Christian Nassif-Haynes,2018-05-03,Fixes to tracklog and disabled autosaving'
'b5c5d7d,Christian Nassif-Haynes,2018-05-03,Disabled autosaving on all tab groups'
'90d41b9,Christian Nassif-Haynes,2018-05-03,Disable autosaving on most tab groups'
'b180b3c,DoxasticFox,2018-04-20,BIODIVERS-6'
'085d625,DoxasticFox,2018-04-20,Most of BIODIVERS-6'
'e2bcc9d,DoxasticFox,2018-04-18,Merge branch 'master' of https://github.com/FAIMS/biodiversity-survey-2017'
'a4b6aff,DoxasticFox,2018-04-18,Uncommented postproc's tarball command'
'68fdde1,Petra,2018-04-05,funding updated'
'2608708,DoxasticFox,2018-04-04,Added perf test DB'
'c333365,DoxasticFox,2018-04-04,Merge branch 'master' of https://github.com/FAIMS/biodiversity-survey-2017'
'8b5ad89,DoxasticFox,2018-04-04,'Load Highlighted Record' button sometimes loaded the wrong record'
'b547274,Petra,2018-04-04,new screenshot links'
'a07ceda,petrajanouchova,2018-04-04,new screenshots'
'e03b9d1,DoxasticFox,2018-04-04,Modules could not be performance tested'
'dd92d74,DoxasticFox,2018-04-03,BIODIVERS-4 - Map: all entities should have dot of different colour'
'762ef8d,DoxasticFox,2018-03-29,Some points weren't displaying in map'
'a2f2fa1,DoxasticFox,2018-03-29,BIODIVERS-4'
'2ee2f71,Brian Ballsun-Stanton,2018-03-29,biodiversity geotiff'
'61d50aa,DoxasticFox,2018-03-08,Updated animal-type dropdown'
'edbcb67,DoxasticFox,2018-03-05,BIODIVERS-2 Added colours to buttons'
'0ac7835,DoxasticFox,2018-02-19,BIODIVERS-2'
'97d6735,Petra,2018-01-30,Update README.md'
'9282f93,Petra Janouchova,2017-10-31,new read me'
'e1a5f4c,Petra Janouchova,2017-10-31,new read me'
'93dda0d,Petra Janouchova,2017-10-31,new screenshots'
'ea3b7ac,Christian Nassif-Haynes,2017-10-27,BIODIVERS-1 - Comment 26/Oct/2017'
'084bd41,DoxasticFox,2017-10-25,First prototype'
'206d378,DoxasticFox,2017-10-24,misc'
'43c204c,DoxasticFox,2017-10-19,Sorted vocabs recursively'
'74c61cc,pettulda,2017-10-19,Create README.md'
'8d46665,Christian Nassif-Haynes,2017-10-19,Initial commit'
'b3950f8,Christian Nassif-Haynes,2017-10-18,Initial commit'
